DateTime,Open,High,Low,Close
2024-08-16,551.42,555.02,551.26,554.31
2024-08-19,554.73,559.61,553.86,559.61
2024-08-20,559.15,560.84,557.33,558.7
2024-08-21,559.77,562.11,554.73,560.62
2024-08-22,562.56,563.18,554.98,556.22
2024-08-23,559.53,563.09,557.29,562.13
2024-08-26,563.18,563.91,559.05,560.79
2024-08-27,559.49,562.06,558.32,561.56
2024-08-28,561.21,561.65,555.04,558.3
2024-08-29,560.31,563.68,557.18,558.35
2024-08-30,560.77,564.2,557.14,563.68
2024-09-03,560.47,560.81,549.51,552.08
2024-09-04,550.2,554.43,549.46,550.95
2024-09-05,550.89,553.8,547.1,549.61
2024-09-06,549.94,551.6,539.44,540.36
2024-09-09,544.65,547.71,542.68,546.41
2024-09-10,548.36,549.15,543.38,548.79
2024-09-11,548.7,555.36,539.96,554.42
2024-09-12,555.01,559.4,552.74,559.09
2024-09-13,559.71,563.03,559.45,562.01
2024-09-16,561.74,563.11,559.9,562.84
2024-09-17,565.1,566.58,560.79,563.07
2024-09-18,563.74,568.69,560.83,561.4
2024-09-19,571.01,572.88,568.08,570.98
2024-09-20,567.84,569.31,565.17,568.25
2024-09-23,569.34,570.33,568.1,569.67
2024-09-24,570.48,571.36,567.6,571.3
2024-09-25,571.14,571.89,568.91,570.04
2024-09-26,574.38,574.71,569.9,572.3
2024-09-27,573.39,574.22,570.42,571.47
2024-09-30,570.42,574.38,568.08,573.76
2024-10-01,573.4,574.06,566.0,568.62
2024-10-02,567.71,569.9,565.27,568.86
2024-10-03,567.36,569.8,565.49,567.82
2024-10-04,572.35,573.36,568.1,572.98
2024-10-07,571.3,571.96,566.63,567.8
2024-10-08,570.42,573.78,569.53,573.17
2024-10-09,573.16,577.71,572.55,577.14
2024-10-10,575.77,577.58,574.49,576.13
2024-10-11,576.05,580.33,575.91,579.58
2024-10-14,581.22,585.27,580.73,584.32
2024-10-15,584.59,584.9,578.54,579.78
2024-10-16,579.78,582.83,578.96,582.3
2024-10-17,585.91,586.12,582.16,582.35
2024-10-18,584.07,585.39,582.58,584.59
2024-10-21,583.85,584.85,580.6,583.63
2024-10-22,581.05,584.5,580.38,583.32
2024-10-23,581.26,581.71,574.42,577.99
2024-10-24,579.98,580.06,576.57,579.24
2024-10-25,581.51,584.46,578.08,579.04
2024-10-28,582.58,582.71,580.52,580.83
2024-10-29,579.85,582.91,578.43,581.77
2024-10-30,581.29,583.32,579.29,580.01
2024-10-31,575.56,575.63,568.44,568.64
2024-11-01,571.32,575.55,570.62,571.04
2024-11-04,571.18,572.5,567.89,569.81
2024-11-05,570.74,576.74,570.52,576.7
2024-11-06,589.2,591.93,585.39,591.04
2024-11-07,593.08,596.65,593.0,595.61
2024-11-08,596.17,599.64,596.16,598.19
2024-11-11,599.81,600.17,597.0,598.76
2024-11-12,598.68,599.29,594.37,596.9
2024-11-13,597.37,599.23,594.96,597.19
2024-11-14,597.32,597.81,592.65,593.35
2024-11-15,589.72,590.2,583.86,585.75
2024-11-18,586.22,589.49,585.34,588.15
2024-11-19,584.71,591.04,584.03,590.3
2024-11-20,590.38,590.79,584.63,590.5
2024-11-21,593.4,595.12,587.45,593.67
2024-11-22,593.66,596.15,593.15,595.51
2024-11-25,599.52,600.86,595.2,597.53
2024-11-26,598.8,601.33,598.07,600.65
2024-11-27,600.46,600.85,597.28,598.83
2024-11-29,599.66,603.35,599.38,602.55
2024-12-02,602.97,604.32,602.47,603.63
2024-12-03,603.39,604.16,602.34,603.91
2024-12-04,605.63,607.91,604.95,607.66
2024-12-05,607.66,608.48,606.3,606.66
2024-12-06,607.44,609.07,607.02,607.81
2024-12-09,607.69,607.86,604.08,604.68
2024-12-10,605.37,605.8,602.13,602.8
2024-12-11,605.78,608.43,605.5,607.46
2024-12-12,606.58,607.16,604.33,604.33
2024-12-13,606.4,607.13,602.81,604.21
2024-12-16,606.0,607.78,605.21,606.79
2024-12-17,604.19,605.17,602.88,604.29
2024-12-18,603.98,606.4,585.89,586.28
2024-12-19,591.36,593.0,585.85,586.1
2024-12-20,581.77,595.75,580.91,591.15
2024-12-23,590.89,595.3,587.66,594.69
2024-12-24,596.06,601.34,595.47,601.3
2024-12-26,599.5,602.48,598.08,601.34
2024-12-27,597.54,597.78,590.76,595.01
2024-12-30,587.89,591.74,584.41,588.22
2024-12-31,589.9,590.64,584.42,586.08
2025-01-02,589.39,591.13,580.5,584.64
2025-01-03,587.53,592.6,586.43,591.95
2025-01-06,596.27,599.7,593.6,595.36
2025-01-07,597.42,597.75,586.78,588.63
2025-01-08,588.7,590.58,585.2,589.49
2025-01-10,585.88,585.95,578.55,580.49
2025-01-13,575.77,581.75,575.35,581.39
2025-01-14,584.36,585.0,578.35,582.19
2025-01-15,590.33,593.94,589.2,592.78
2025-01-16,594.17,594.35,590.93,591.64
2025-01-17,596.96,599.36,595.61,597.58
2025-01-21,600.67,603.06,598.67,603.05
2025-01-22,605.92,607.82,605.36,606.44
2025-01-23,605.8,609.75,605.52,609.75
2025-01-24,609.81,610.78,606.8,607.97
2025-01-27,594.81,599.69,594.64,599.37
2025-01-28,600.62,605.37,597.25,604.52
2025-01-29,603.72,604.13,599.22,601.81
2025-01-30,603.96,606.6,600.72,605.04
2025-01-31,607.5,609.96,601.05,601.82
2025-02-03,592.67,600.29,590.49,597.77
2025-02-04,597.83,602.3,597.28,601.78
2025-02-05,600.64,604.37,598.58,604.22
2025-02-06,605.99,606.45,602.63,606.32
2025-02-07,606.89,608.13,600.05,600.77
2025-02-10,604.03,605.5,602.74,604.85
2025-02-11,602.55,605.86,602.43,605.31
2025-02-12,599.2,604.55,598.51,603.36
2025-02-13,604.48,609.94,603.2,609.73
2025-02-14,609.94,610.99,609.07,609.7
2025-02-18,610.88,611.49,608.38,611.49
2025-02-19,610.08,613.23,609.56,612.93
2025-02-20,611.54,611.68,607.02,610.38
2025-02-21,610.16,610.3,599.47,599.94
2025-02-24,602.02,603.03,596.49,597.21
2025-02-25,597.15,597.89,589.56,594.24
2025-02-26,595.93,599.58,591.86,594.54
2025-02-27,596.85,598.02,584.65,585.05
2025-02-28,585.56,594.72,582.44,594.18
2025-03-03,596.18,597.34,579.9,583.77
2025-03-04,579.71,585.39,572.25,576.86
2025-03-05,576.69,584.88,573.08,583.06
2025-03-06,575.48,580.17,570.12,572.71
2025-03-07,570.9,577.39,565.63,575.92
2025-03-10,567.59,569.54,555.59,560.58
2025-03-11,559.4,564.02,552.02,555.92
2025-03-12,562.17,563.11,553.69,558.87
2025-03-13,558.49,559.1,549.68,551.42
2025-03-14,556.11,563.83,551.49,562.81
2025-03-17,562.79,569.71,562.35,567.15
2025-03-18,564.8,565.02,559.06,561.02
2025-03-19,562.83,570.95,561.63,567.13
2025-03-20,563.33,570.57,562.6,565.49
2025-03-21,559.28,564.89,558.03,563.98
2025-03-24,570.8,575.15,570.2,574.08
2025-03-25,575.3,576.41,573.69,575.46
2025-03-26,575.19,576.33,567.19,568.59
2025-03-27,567.18,570.9,564.94,567.08
2025-03-28,565.53,566.27,555.07,555.66
2025-03-31,549.83,560.71,546.87,559.39
2025-04-01,557.45,562.94,553.68,560.97
2025-04-02,555.05,567.42,554.81,564.52
2025-04-03,545.11,547.97,536.7,536.7
2025-04-04,523.67,525.87,505.06,505.28
2025-04-07,489.19,523.17,481.8,504.38
2025-04-08,521.86,524.98,489.16,496.48
2025-04-09,493.44,548.62,493.05,548.62
2025-04-10,532.17,533.5,509.32,524.58
2025-04-11,523.01,536.43,520.07,533.94
2025-04-14,544.05,544.28,533.86,539.12
2025-04-15,539.67,543.23,536.81,537.61
2025-04-16,531.68,537.89,520.29,525.66
2025-04-17,527.64,531.16,523.91,526.41
2025-04-21,521.16,521.7,508.46,513.88
2025-04-22,520.14,529.3,519.19,527.25
2025-04-23,540.43,545.43,533.88,535.42
2025-04-24,536.72,547.43,535.45,546.69
2025-04-25,546.65,551.05,543.69,550.64
2025-04-28,551.39,553.55,545.02,550.85
2025-04-29,548.91,555.45,548.55,554.32
2025-04-30,547.57,556.52,541.52,554.54
2025-05-01,560.37,564.07,557.86,558.47
2025-05-02,564.73,568.38,562.38,566.76
2025-05-05,562.57,566.65,561.7,563.51
2025-05-06,557.93,563.35,556.96,558.8
2025-05-07,560.15,563.82,556.04,561.15
2025-05-08,565.24,570.31,561.7,565.06
2025-05-09,566.48,567.5,562.76,564.34
2025-05-12,581.47,583.0,577.04,582.99
2025-05-13,583.41,589.08,582.84,586.84
